City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
cape town,20,ZA,1595078428,72,-33.93,18.42,70,11.41
bluff,0,NZ,1595078447,79,-46.6,168.33,37.63,5.64
puerto ayora,98,EC,1595078448,96,-0.74,-90.35,68,3
castro,90,CL,1595078345,100,-42.47,-73.77,51.01,18.34
vaitupu,,WF,,,,,,
albany,90,AU,1595078448,100,-35.02,117.89,50,6.93
busselton,15,AU,1595078158,69,-33.65,115.33,52,9.33
lavrentiya,0,RU,1595078448,82,65.58,-171,41.45,7.34
alice springs,0,AU,1595078227,23,-23.7,133.88,53.6,4.7
hithadhoo,100,MV,1595078449,80,-0.6,73.08,82.74,23.69
cap-aux-meules,90,CA,1595078449,82,47.38,-61.86,60.8,11.41
tuktoyaktuk,100,CA,1595078449,92,69.45,-133.04,39.07,12.88
rikitea,98,PF,1595078449,82,-23.12,-134.97,72.63,17.63
qaanaaq,100,GL,1595078156,71,77.48,-69.36,48.27,6.87
norman wells,75,CA,1595078212,93,65.28,-126.83,57.2,4.7
bredasdorp,0,ZA,1595078449,56,-34.53,20.04,69.8,20.8
klyuchi,0,RU,1595078450,40,52.27,79.17,79.43,16.69
ushuaia,75,AR,1595078450,92,-54.8,-68.3,28.4,6.93
coihaique,90,CL,1595078450,86,-45.58,-72.07,33.8,3.36
punta arenas,90,CL,1595078424,86,-53.15,-70.92,33.8,14.99
hermanus,0,ZA,1595078163,73,-34.42,19.23,64.99,5.99
bitkine,100,TD,1595078451,69,11.98,18.21,76.87,2.82
nouadhibou,20,MR,1595078451,78,20.93,-17.03,75.2,16.11
hobart,75,AU,1595078445,70,-42.88,147.33,48.2,9.17
havoysund,40,NO,1595078452,62,71,24.66,59,10.29
arraial do cabo,40,BR,1595078158,60,-22.97,-42.03,75.2,14.99
port alfred,0,ZA,1595078452,19,-33.59,26.89,80.28,17.52
hoyanger,75,NO,1595078452,87,61.22,6.07,57.2,8.05
san patricio,5,MX,1595078452,94,19.22,-104.7,77,3.51
barentsburg,,SJ,,,,,,
kruisfontein,0,ZA,1595077885,18,-34,24.73,77.34,8.1
nishihara,40,JP,1595078453,94,26.18,127.76,80.6,6.93
dikson,100,RU,1595078453,96,73.51,80.55,39.42,10.54
chabahar,40,IR,1595078453,40,25.29,60.64,102.2,13.87
jamestown,21,SH,1595078453,89,-15.94,-5.72,63.05,14.9
waingapu,55,ID,1595077875,83,-9.66,120.26,75.07,7.31
kjopsvik,75,NO,1595078454,63,68.1,16.37,60.8,12.75
verkhovye,74,RU,1595078454,80,52.81,37.24,65.59,8.59
kuusamo,98,FI,1595078454,46,65.97,29.18,73.4,9.17
barrow,90,US,1595078455,94,71.29,-156.79,35.6,17.22
isangel,40,VU,1595078455,100,-19.55,169.27,69.8,5.46
xiantao,100,CN,1595078455,97,30.38,113.4,75.09,7.85
yumen,0,CN,1595077870,16,40.28,97.2,78.44,9.1
manavalakurichi,75,IN,1595078456,66,8.13,77.3,84.2,6.93
kahului,1,US,1595078232,69,20.89,-156.47,75.2,5.82
butaritari,0,KI,1595078456,76,3.07,172.79,83.68,16.91
port-gentil,40,GA,1595078456,69,-0.72,8.78,82.4,12.77
aykino,99,RU,1595078456,71,62.22,49.99,71.87,3.31
hasaki,75,JP,1595078457,100,35.73,140.83,70,2.24
port elizabeth,0,ZA,1595078457,22,-33.92,25.57,78.8,14.99
vao,44,NC,1595077878,69,-22.67,167.48,69.96,14
kamenskoye,,RU,,,,,,
brainerd,1,US,1595078159,78,46.36,-94.2,71.6,6.93
tura,81,RU,1595077941,70,64.28,100.25,53.49,4.43
saskylakh,100,RU,1595077871,63,71.92,114.08,56.46,11.45
hauterive,90,CA,1595078458,93,49.18,-68.27,62.6,5.82
poronaysk,51,RU,1595078458,95,49.22,143.12,60.08,5.14
leningradskiy,100,RU,1595077956,87,69.38,178.42,36.09,12.5
vaini,90,TO,1595078458,100,-21.2,-175.2,73.4,12.75
nagato,75,JP,1595078458,88,34.38,131.2,77,11.41
new norfolk,50,AU,1595078458,76,-42.78,147.06,44.01,1.99
chokurdakh,0,RU,1595078458,68,70.63,147.92,47.25,11.56
skelleftea,100,SE,1595078459,60,64.75,20.95,73.99,6.93
aksha,100,RU,1595078460,78,50.28,113.29,58.05,3.96
half moon bay,90,US,1595077816,93,37.46,-122.43,63,10.29
atuona,4,PF,1595078460,76,-9.8,-139.03,79.09,14.52
georgetown,10,SH,1595078460,74,-7.93,-14.42,77.38,17.96
taolanaro,,MG,,,,,,
belushya guba,,RU,,,,,,
nerchinskiy zavod,100,RU,1595078460,96,51.31,119.61,63.05,2.68
satitoa,,WS,,,,,,
mataura,,PF,,,,,,
guerrero negro,0,MX,1595078014,86,27.98,-114.06,66.96,8.25
hilo,90,US,1595078461,73,19.73,-155.09,73.4,9.17
illoqqortoormiut,,GL,,,,,,
san cristobal,78,EC,1595078462,90,-0.9,-89.62,69.19,13.6
uwayl,,SD,,,,,,
sederot,0,IL,1595078462,56,31.52,34.6,89.01,1.99
cairns,3,AU,1595078298,68,-16.92,145.77,66.2,4.7
torbay,40,CA,1595078462,71,47.67,-52.73,57.99,11.41
pincher creek,90,CA,1595078463,81,49.48,-113.95,54,5.82
bengkulu,100,ID,1595078463,88,-3.8,102.27,79.65,6.49
dali,100,CN,1595078463,84,25.7,100.18,63.84,6.13
petropavlovsk-kamchatskiy,0,RU,1595078186,87,53.05,158.65,57.2,2.24
diffa,39,NE,1595078463,39,13.32,12.61,90.66,10.07
tasiilaq,20,GL,1595078463,66,65.61,-37.64,51.8,9.17
killybegs,40,IE,1595078463,76,54.63,-8.45,60.01,13.87
la rioja,0,AR,1595078225,32,-29.41,-66.85,65.55,4.76
mandurah,40,AU,1595078464,100,-32.55,115.7,53.01,9.01
